Num folds,RMSE
2,0.004191548563539982
3,0.0008770140702836215
4,0.0008273908169940114
5,0.0006683393730781972
6,0.0005407861317507923
7,0.0004418620956130326
8,0.0003962030459661037
9,0.00041114879422821105
10,0.0004134331538807601
